,Ead_NNP,Ead_reg,ontop_element,ad_place_num
1233,-1.7624726295471156,-1.7009515466771097,Ir,1
1234,-1.9452052116394047,-2.043374988276294,Ir,2
1235,-1.5833320617675684,-1.651968839380496,Ir,1
1236,-1.6235074996948198,-1.6917419625556271,Ir,1
1237,-1.5562157630920348,-1.6668862601389918,Ir,1
1238,-1.6821956634521396,-1.7415945194541103,Ir,1
1239,-1.5767707824707011,-1.7127212763813762,Ir,1
1240,-1.5222949981689409,-1.6249141054145775,Ir,1
1241,-1.7612838745117123,-1.756454891252916,Ir,1
1242,-2.1698980331420863,-2.3339132832379414,Ir,3
1243,-1.3110184669494591,-1.4330248548239948,Pd,2
1244,-1.2673149108886663,-1.3701662144714946,Pd,2
1245,-0.9364151954650852,-1.2206564535457576,Pd,1
1246,-1.4233655929565376,-1.545474799983926,Pd,3
1247,-0.9881038665771458,-1.2493112596982632,Pd,1
1248,-1.2470645904540971,-1.372332525468636,Pd,2
1249,-1.0683569908142043,-1.2688941438080805,Pd,1
1250,-1.2853446006774885,-1.4059337637198217,Pd,2
1251,-1.5773606300353942,-1.5988564893801434,Pd,3
1252,-1.3778400421142516,-1.4611456692736424,Pd,2
1253,-0.9402375221252416,-1.2239108674630528,Pd,1
1254,-0.8687191009521431,-1.225641475532785,Pd,1
1255,-0.8853545188903809,-1.2080481145555433,Pd,1
1256,-1.4312343597412065,-1.5446960758267623,Pd,3
1257,-1.2318959236144966,-1.3770576429085033,Pd,2
1258,-1.1222991943359322,-1.3378651586123205,Pd,2
1259,-1.2309789657592702,-1.397399131661047,Pd,3
1260,-1.0145802497863698,-1.223111693963346,Pd,1
1261,-0.8254489898681587,-1.1448919692518522,Pd,1
1262,-1.3141546249389613,-1.4983120195175355,Pd,3
1263,-1.3328356742858825,-1.481848979457955,Pd,3
1264,-1.090244293212888,-1.2970179267106778,Pd,1
1265,-1.3682246208190874,-1.4258256967645235,Pd,2
1266,-1.3438997268676696,-1.4977318518799025,Pd,3
1267,-1.6479907035827577,-1.4688005179913517,Pt,3
1268,-1.375115394592278,-1.0992910457040788,Pt,1
1269,-1.8738541603088352,-1.8191606621469303,Pt,3
1270,-1.7603511810302708,-1.610056597332263,Pt,2
1271,-1.1201009750366184,-0.9642382015079064,Pt,1
1272,-1.5678081512451136,-1.444727739214233,Pt,3
1273,-1.2577562332153267,-1.0146856460933449,Pt,1
1274,-1.1635212898254386,-0.9949616548292711,Pt,1
1275,-1.0706806182861284,-0.9298759337929564,Pt,1
1276,-1.0391340255737251,-0.965246287865833,Pt,1
1277,-1.0442023277282653,-0.9665783634756921,Pt,1
1278,-1.4154453277587846,-1.2750231394024654,Pt,2
1279,-0.9974966049194274,-0.9257072002069423,Pt,1
1280,-1.624418258666986,-1.4981396045923125,Pt,3
1281,-1.065194129943846,-0.9066602979618823,Pt,1
1282,-1.397336959838861,-1.1612937475527025,Pt,1
1283,-1.0825467109680122,-0.9193540998175493,Pt,1
1284,-1.1107482910156188,-0.9970608464216594,Pt,1
1285,-1.5762944221496555,-1.5140474229538397,Pt,3
1286,-1.510034084320064,-1.3056204471581858,Pt,2
1287,-1.4944024085998473,-1.285598342655645,Pt,3
1288,-1.1109075546264575,-0.9412759349753487,Pt,1
1289,-1.1759586334228471,-0.9971287709570062,Pt,1
1290,-1.7625799179077113,-1.613787595023819,Pt,3
