,Ead_NNP,Ead_reg,ontop_element,struct_no,site_info
1010,-0.978085041,-1.000335206,Pd,16,facet
1011,-1.190720081,-1.170415382,Pd,16,edge
1012,-1.435556889,-1.399169004,Pd,16,corner
1013,-1.424733639,-1.461607779,Pd,16,corner
1014,-1.015975952,-1.063361668,Pd,16,facet
1015,-0.79992485,-0.861673989,Pd,16,facet
1016,-0.874951839,-0.881545519,Pd,16,facet
1017,-1.266868591,-1.230804308,Pd,16,edge
1018,-0.868025303,-0.907073282,Pd,16,facet
1019,-1.301584244,-1.270477239,Pd,16,corner
1020,-1.286720753,-1.291956022,Pt,16,facet
1021,-1.17860651,-1.204531251,Pt,16,facet
1022,-1.479009628,-1.527424667,Pt,16,edge
1023,-1.736470222,-1.770769183,Pt,16,edge
1024,-1.135437965,-1.134812536,Pt,16,facet
1025,-1.373842716,-1.355507777,Pt,16,edge
1026,-1.701331139,-1.736960867,Pt,16,corner
1027,-1.563797474,-1.527574961,Pt,16,edge
1028,-1.153871536,-1.185836175,Pt,16,facet
1029,-1.50872612,-1.456629245,Pt,16,edge
1030,-1.328763008,-1.343160201,Pt,16,edge
1031,-1.487892151,-1.467726268,Pt,16,edge
1032,-1.042513371,-1.169879503,Pt,16,facet
1033,-1.239739895,-1.213097274,Pt,16,facet
1034,-1.36648798,-1.411362785,Pt,16,edge
1035,-1.099908829,-1.186699556,Pt,16,facet
1036,-1.649884224,-1.609329572,Pt,16,corner
1037,-1.350122929,-1.346197114,Pt,16,edge
1038,-1.238480568,-1.238104458,Pt,16,facet
1039,-1.451293468,-1.42901461,Pt,16,edge
1040,-1.041069508,-1.050185618,Pt,16,facet
1041,-1.636470318,-1.599164666,Pt,16,corner
1042,-1.024449825,-1.107371118,Pt,16,facet
1043,-1.437957287,-1.397072109,Pt,16,edge
1044,-1.427296162,-1.388067278,Pt,16,edge
1045,-1.706121445,-1.689409237,Pt,16,corner
1046,-1.58021307,-1.603186597,Rh,16,edge
1047,-1.397960663,-1.401950916,Rh,16,facet
1048,-1.831575394,-1.84694258,Rh,16,corner
1049,-1.618877888,-1.613278228,Rh,16,edge
1050,-1.763575554,-1.792470581,Rh,16,corner
1051,-1.51290369,-1.581028276,Rh,16,edge
1052,-1.566422939,-1.64973384,Rh,16,corner
1053,-1.465026379,-1.493869154,Rh,16,facet
1054,-1.685584545,-1.717556732,Rh,16,corner
1055,-1.626552582,-1.608194706,Rh,16,edge
1056,-1.797894955,-1.794240667,Rh,16,corner
1057,-1.510084152,-1.426394156,Rh,16,facet
1058,-1.507730961,-1.539306313,Rh,16,edge
1059,-1.435884953,-1.370859742,Rh,16,facet
1060,-1.4793787,-1.471135555,Rh,16,facet
1061,-1.569309711,-1.509135523,Rh,16,facet
1062,-1.770159721,-1.809100162,Rh,16,corner
1063,-1.794329643,-1.750651054,Rh,16,corner
1064,-1.707502365,-1.676387967,Rh,16,edge
1065,-1.32243681,-1.358232946,Rh,16,facet
1066,-1.243824005,-1.363322024,Rh,16,facet
1067,-1.639648438,-1.602106805,Rh,16,edge
1068,-1.580554485,-1.66019878,Rh,16,corner
1069,-1.677156925,-1.692183045,Rh,16,corner
1070,-1.498746395,-1.575276469,Rh,16,edge
1071,-1.337587357,-1.425213796,Rh,16,facet
1072,-1.442130089,-1.493732062,Rh,16,edge
1073,-1.594502449,-1.636933477,Rh,16,corner
1074,-2.051191807,-1.953120388,Ru,16,facet
1075,-1.954640865,-1.889677806,Ru,16,facet
1076,-1.845365524,-1.802704783,Ru,16,facet
1077,-1.682385921,-1.661053084,Ru,16,facet
1078,-2.09777689,-2.017261149,Ru,16,edge
1079,-1.960622787,-1.932551765,Ru,16,facet
1080,-2.092819214,-1.95674695,Ru,16,facet
1081,-2.572925568,-2.463624354,Ru,16,edge
1082,-2.39773941,-2.283414559,Ru,16,edge
1083,-1.994745731,-1.956394741,Ru,16,facet
